direction_name,n,n_facts,exact_match,d_logp_gold,d_logp_gold_lo,d_logp_gold_hi,d_margin,d_margin_lo,d_margin_hi,d_entropy,d_entropy_lo,d_entropy_hi,d_gold_rank,d_gold_rank_lo,d_gold_rank_hi
lda,1306,176,0.08652373660030628,5.42355439317266,4.647092145339986,6.2568759675644765,-1.2238129088653071,-2.1175312431802937,-0.35372271094918256,2.57250279415472,2.3743471635935833,2.765657714260691,-0.08060037115720696,-0.5299987870980694,0.3301590258905874
random_0,1306,176,0.08958652373660031,5.270398216364641,4.479310460456796,6.10938252966083,-1.5789827202500832,-2.407332972828274,-0.797056626467307,3.092641366149841,2.8803493668452274,3.3092322029922157,0.7245133662278944,0.2576830730636714,1.2375301077098522
random_1,1306,176,0.05819295558958652,2.414502152302147,1.6470124097750645,3.227716806713641,-1.5779844438586368,-2.3809782880979675,-0.8254609179163352,2.661573921753245,2.46160072771084,2.8726206288335105,1.3004850810826836,0.8806528999338168,1.7179633583850746
