feature,auc_dr_vs_nr,activation_freq
95860,0.71213806,0.9171875000000559
24708,0.7037666,1.0000000000000688
28652,0.65941536,0.9678125000000638
18035,0.6484565,0.6412500000000128
48708,0.36861482,0.8115625000000394
73456,0.6311438,0.35374999999999385
32940,0.6273298,0.8718750000000488
67098,0.6210685,0.8356250000000431
93994,0.6076779,0.4121874999999926
64900,0.6070938,0.35906249999999373
57459,0.6044435,0.930937500000058
21451,0.60367215,0.4771874999999912
41159,0.60025454,0.0974999999999993
76607,0.5979809,0.3756249999999934
20814,0.5961108,0.34343749999999407
117472,0.59541017,0.2668749999999957
102359,0.5898216,0.1774999999999976
13934,0.5881786,0.7206250000000252
14083,0.4118374,0.39499999999999297
118367,0.58637,0.21906249999999672
97611,0.41426706,0.18781249999999738
58409,0.58418816,0.27437499999999554
3659,0.5810707,0.24999999999999606
110931,0.5756889,0.3421874999999941
28133,0.42741188,0.17687499999999762
34235,0.5710542,0.3134374999999947
79779,0.5696842,0.21687499999999676
38377,0.5677832,0.09687499999999931
130789,0.43505004,0.6168750000000089
892,0.43551648,0.09312499999999939
75670,0.561068,0.16968749999999777
90895,0.55812156,0.23281249999999643
118047,0.5561471,0.3506249999999939
68177,0.55507284,0.48562499999999104
49582,0.5531619,0.11343749999999896
81907,0.44793174,0.1359374999999985
48775,0.544288,0.9159375000000557
8153,0.5438325,0.7371875000000278
47357,0.45661017,0.12906249999999864
114313,0.54263544,0.04093750000000003
